"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","external encapsulating structure organization","150/4647","323/18870",7.62657939484651e-18,3.05747858109393e-14,2.39682203346961e-14,"NOX1/IBSP/TLL1/GPM6B/COL9A2/COL11A1/COL17A1/TIE1/NTN4/FBLN1/ITGA8/FAP/CPB2/COL4A4/COL19A1/CMA1/TGM1/COL9A3/TGFB2/TLL2/MMP11/CTSG/MMP9/FERMT1/RGCC/MMP15/FOXF1/APLP1/HAS1/COMP/HPN/CAV2/CAV1/ECM2/ENG/SPOCK2/COL1A1/ADTRP/COL9A1/NR2E1/COL7A1/TNR/MMP8/RECK/PRDX4/MMP19/COL10A1/SOX9/BMP2/LOXL1/COL5A1/GFAP/RAMP2/MATN3/POSTN/MYH11/SPINK5/LOXL2/ADAMTS8/AGT/LCP1/IL6/CTSV/FOXF2/SULF1/MMP7/MMP20/MMP13/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/FBLN5/FURIN/ADAMTS18/P3H4/FKBP10/CCN1/DPT/ADAMTSL4/PHLDB2/SFRP2/ADAMTS16/SERPINH1/MMP3/ADAMTS12/ADAM8/DMP1/ABI3BP/WNT3A/ADAMTS1/MMP16/ADAMTSL3/MMP14/ADAMTS4/CARMIL2/FGFR4/NPHS1/PDPN/DDR2/IHH/PTX3/MELTF/COL1A2/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/TNXB/COL3A1/NPNT/COL4A3/COL22A1/COL24A1/RXFP1/ANGPTL7/LAMB2/TPSAB1/HPSE2/ADAMTS20/NDNF/COL18A1/GAS6/OLFML2A/ADAMTSL5/TMPRSS6/THSD4/OPTC/MMP1/COL13A1/DPP4/ERO1A/MMP17/SMOC1/COLGALT2/COL11A2/COL5A2/C6orf15/PRSS1/VIT/SERPINB5/COL28A1/ITGB3/SCX/MIA/MMP12/MMP28/PRSS2",150
"GO:0030198","extracellular matrix organization","149/4647","321/18870",1.03641799104377e-17,3.05747858109393e-14,2.39682203346961e-14,"NOX1/IBSP/TLL1/GPM6B/COL9A2/COL11A1/COL17A1/TIE1/NTN4/FBLN1/ITGA8/FAP/CPB2/COL4A4/COL19A1/CMA1/COL9A3/TGFB2/TLL2/MMP11/CTSG/MMP9/FERMT1/RGCC/MMP15/FOXF1/APLP1/HAS1/COMP/HPN/CAV2/CAV1/ECM2/ENG/SPOCK2/COL1A1/ADTRP/COL9A1/NR2E1/COL7A1/TNR/MMP8/RECK/PRDX4/MMP19/COL10A1/SOX9/BMP2/LOXL1/COL5A1/GFAP/RAMP2/MATN3/POSTN/MYH11/SPINK5/LOXL2/ADAMTS8/AGT/LCP1/IL6/CTSV/FOXF2/SULF1/MMP7/MMP20/MMP13/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/FBLN5/FURIN/ADAMTS18/P3H4/FKBP10/CCN1/DPT/ADAMTSL4/PHLDB2/SFRP2/ADAMTS16/SERPINH1/MMP3/ADAMTS12/ADAM8/DMP1/ABI3BP/WNT3A/ADAMTS1/MMP16/ADAMTSL3/MMP14/ADAMTS4/CARMIL2/FGFR4/NPHS1/PDPN/DDR2/IHH/PTX3/MELTF/COL1A2/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/TNXB/COL3A1/NPNT/COL4A3/COL22A1/COL24A1/RXFP1/ANGPTL7/LAMB2/TPSAB1/HPSE2/ADAMTS20/NDNF/COL18A1/GAS6/OLFML2A/ADAMTSL5/TMPRSS6/THSD4/OPTC/MMP1/COL13A1/DPP4/ERO1A/MMP17/SMOC1/COLGALT2/COL11A2/COL5A2/C6orf15/PRSS1/VIT/SERPINB5/COL28A1/ITGB3/SCX/MIA/MMP12/MMP28/PRSS2",149
"GO:0043062","extracellular structure organization","149/4647","322/18870",1.46618218402842e-17,3.05747858109393e-14,2.39682203346961e-14,"NOX1/IBSP/TLL1/GPM6B/COL9A2/COL11A1/COL17A1/TIE1/NTN4/FBLN1/ITGA8/FAP/CPB2/COL4A4/COL19A1/CMA1/COL9A3/TGFB2/TLL2/MMP11/CTSG/MMP9/FERMT1/RGCC/MMP15/FOXF1/APLP1/HAS1/COMP/HPN/CAV2/CAV1/ECM2/ENG/SPOCK2/COL1A1/ADTRP/COL9A1/NR2E1/COL7A1/TNR/MMP8/RECK/PRDX4/MMP19/COL10A1/SOX9/BMP2/LOXL1/COL5A1/GFAP/RAMP2/MATN3/POSTN/MYH11/SPINK5/LOXL2/ADAMTS8/AGT/LCP1/IL6/CTSV/FOXF2/SULF1/MMP7/MMP20/MMP13/ADAMTS14/PRDM5/SLC39A8/PRICKLE1/COL2A1/FBLN5/FURIN/ADAMTS18/P3H4/FKBP10/CCN1/DPT/ADAMTSL4/PHLDB2/SFRP2/ADAMTS16/SERPINH1/MMP3/ADAMTS12/ADAM8/DMP1/ABI3BP/WNT3A/ADAMTS1/MMP16/ADAMTSL3/MMP14/ADAMTS4/CARMIL2/FGFR4/NPHS1/PDPN/DDR2/IHH/PTX3/MELTF/COL1A2/ADAMTS15/WDR72/MFAP4/MMP10/GREM1/TNXB/COL3A1/NPNT/COL4A3/COL22A1/COL24A1/RXFP1/ANGPTL7/LAMB2/TPSAB1/HPSE2/ADAMTS20/NDNF/COL18A1/GAS6/OLFML2A/ADAMTSL5/TMPRSS6/THSD4/OPTC/MMP1/COL13A1/DPP4/ERO1A/MMP17/SMOC1/COLGALT2/COL11A2/COL5A2/C6orf15/PRSS1/VIT/SERPINB5/COL28A1/ITGB3/SCX/MIA/MMP12/MMP28/PRSS2",149
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","120/4647","248/18870",3.31539392757585e-16,5.18527610272862e-13,4.06484744962523e-13,"CALCR/TBXA2R/MARCO/CASR/ADRB1/CALCRL/GLP2R/ADGRF5/EDN1/ADCYAP1R1/OPRK1/PTHLH/RAPGEF4/CHGA/HRH3/APLP1/CALCA/ADGRD1/OPRM1/GNAT1/VIPR1/GCG/OPRD1/ADGRL2/CNR1/ADRA1A/IAPP/ADGRB2/PTGFR/RAMP3/ADGRE5/GRM4/TCP11/S1PR4/AVPR2/ADM2/MCHR1/GALR3/ADCY4/AKAP12/ADGRE3/RAMP2/RAMP1/SSTR4/GPR12/RXFP2/ADGRB3/GABBR2/LHCGR/CXCL9/GPR65/PTH2R/ADGRG7/UCN2/VIP/ADGRL3/ADRA2A/PTH/ADGRF1/ADGRF4/GPR26/GPR78/ADCY8/GNAQ/ADGRG4/GIP/PTGIR/PTH1R/ADCY9/ADGRL4/ADORA1/PF4/ADGRF2/GPER1/GPR101/TSHR/MC4R/MTNR1A/CHRM1/HTR1E/ADRB2/P2RY12/P2RY1/GPR37L1/GPR37/AKAP13/S1PR1/FPR2/FPR1/RXFP1/PTGER4/ADRA1D/ADGRE1/CALCB/MC5R/RIMS2/GPR4/HTR1A/UCN3/HTR1D/ADGRD2/CHRM4/S1PR5/CHRM2/ADGRB1/GALR2/CCR3/NPY2R/MC2R/PDE2A/CNR2/GRM3/GRK5/LGR4/ADGRG1/GNAT3/GCGR/CORT/INSL3/ITGB3",120
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","128/4647","279/18870",6.31855001274932e-15,7.90576977595195e-12,6.1974998967156e-12,"ITGAL/CX3CL1/SELE/CELSR3/TENM1/CLDN11/CDH1/CDH10/DSG2/CDH3/CLDN18/CDH19/CDHR2/SCARF1/CDH17/CEACAM1/CDH7/PCDHA6/FAT1/IGSF9/CEACAM6/FAT2/TGFB2/PCDH11Y/CDHR5/CDH20/PCDH11X/CBLN1/CEACAM5/MAG/CDH23/CRTAM/NECTIN1/MDGA1/PCDH12/APOA1/PCDH17/PCDHB8/CEACAM8/BMP2/FLRT3/CDHR3/LRRC4/CDH15/GATA5/LRRC4B/CNTN6/DSG3/DSG1/DSC1/CLDN10/PCDH8/KLF4/MYPN/PCDH10/CDH24/CDH13/NECTIN4/IGSF11/CDH18/SDK1/HMCN2/TENM4/ESAM/PCDH15/ADGRL3/GRID2/SPARCL1/PTPRD/ROBO4/CDH12/CLDN12/CLSTN2/CLDN14/JAML/NEXN/NTNG1/CADM3/TGFBR2/CLDN19/CLDN3/FAT3/CLDN2/RET/DCHS1/PCDH7/CDH2/EMB/PTPRM/LRFN4/SELP/DSG4/SLITRK1/LGALS7B/CDH5/MYADM/AMIGO1/CADM1/CLDN5/CNTN2/PCDH9/EFNA5/CLDN6/ROBO2/SLITRK2/CDHR4/CLDN4/PTPRT/FAT4/PLXNB3/L1CAM/CD177/PSG5/PCDHGA1/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA4/CLDN9/TENM3/PCDHGC3/PCDHA11/PCDHA12/PCDHGA12/PCDHGA8/PCDHGB7/PECAM1",128
"GO:0042391","regulation of membrane potential","181/4647","440/18870",9.93447755023497e-15,1.03583485923783e-11,8.12012822921837e-12,"GCLC/CFTR/CACNA1G/SCN4A/MAPK8IP2/DCN/GABRA3/ATP1A2/FHL1/GCLM/MYOC/ADRB1/DSG2/KCNH2/PKP2/KCNAB2/CNGB1/TRPC5/ACTN2/EDN1/RIMS1/KCNK2/P2RX5/SLC4A11/TBX5/KCNH4/SLC26A3/GABRP/DSP/HCN2/P2RX6/CACNA1I/KCNK10/SLC8A3/RIMS4/NTSR1/CHRNA4/SMAD7/GABRE/CBLN1/KCNN4/SLC1A6/ATP1A3/GRIN2D/GRIK5/CAV1/STX1A/LIPA/P2RX1/SLC6A4/PHOX2B/GABRA4/P2RX3/ASIC1/GABRR2/CCN6/TBX18/GABRG2/NUP155/SLC4A3/GRIN3B/OPRD1/CHRNB4/SLC8A2/CNR1/CASQ2/GRIA2/KCNJ5/CHRNA2/ADRA1A/KCNJ8/KCNK15/NDP/KCNC1/ATP1B2/KCNA5/SYNE1/SLC34A1/POPDC3/RNF122/CD36/KCNK1/CHRND/CHRNA1/SLC39A8/KCNH5/SLC24A4/PMAIP1/ATP1B1/ADCY10/HCN3/SCN1A/IGSF11/SNCA/GLRA3/GABRR1/CHRNA6/NTRK2/HTR3B/GRIK4/SCN2B/KCNE4/GRID2/GRIA4/GJA1/PID1/WNT7A/GRIA1/GNAQ/RNF207/CHRNB2/GRIN2C/SLC1A7/GABRB1/ADORA1/CLDN19/GRIK2/HCN1/KCNK5/GPER1/KCNC2/SCN3B/NETO1/HTR3A/PIP5KL1/CACNB3/CHRM1/NTSR2/ADRB2/KCNK9/CHRNA5/CHRNB1/KCNMB3/KCNK3/CHRNA9/BNIP3/RIMS2/GRIN1/SCN4B/KCNJ10/HTR3C/UCN3/GPR35/KCNE1/GPR88/KCNA4/GABRG3/CACNB4/CAV3/GRID1/PYCR1/GABRR3/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/KCNQ5/GABRA5/ZACN/GABRD/P2RX2/CLCN1/FZD9/CNR2/LRRK2/INSYN2A/HSH2D/TRPV1/CHRNG/SCN8A/BCO2/KCNMB2/INSYN2B/INSYN1/MLLT11/SHANK3/GJA5/FXYD1/GABRQ",181
"GO:0007389","pattern specification process","192/4647","475/18870",1.18546234860005e-14,1.05946463612027e-11,8.30536704079344e-12,"CYP26B1/HOXA11/MEOX1/PAX6/ISL1/HOXC8/TLL1/ALX4/DMRT3/FGFR2/FGF10/TP63/WNT8B/HOXA9/EDN1/WNT11/AURKA/TBX5/CHRD/DLL3/TLL2/TDRD1/MFNG/CHRDL1/NDRG4/FOXF1/WNT2/LFNG/HOXA5/COBL/MEOX2/LHX2/ENG/LHX3/DKK1/WNT3/HOXB6/KAT2A/NKX3-2/ZBTB16/MDFI/TBX18/IRX4/CDX1/ARL6/OTX1/WNT6/DLX2/VAX2/SATB2/HOXB8/HOXB3/HOXB1/MSX2/TBX2/DNAI1/EGR2/BHLHE41/HOXC13/HOXC11/STIL/DAW1/NKX2-2/BMP2/SIX1/FEZF1/HOXD3/HOXD10/HOXD11/HOXD13/FOXA1/GATA5/BARX1/GSC/WNT2B/RAX/APLNR/TBX3/HEY2/EMX1/PCDH8/TBR1/GATA4/LMX1B/SMAD6/SIX3/FGF2/PRICKLE1/ASCL1/FOXN4/ACVRL1/PCSK6/NKD1/DMRTA2/LEFTY2/MEIS1/DLX1/HES6/SFRP2/GPC3/CER1/ZEB1/TBX6/ENKUR/ZIC1/FEZF2/DNAAF1/WNT3A/WNT7A/WIF1/ALX3/FUT6/ZIC3/DRC1/GRHL3/RNF207/SIM2/BTG2/FOXH1/TDRD5/NEUROD1/EN1/MSX1/IHH/TGFBR2/HEYL/PITX2/HHIP/TBXT/TBX20/SP8/SOX17/CDX2/OTX2/DCHS1/CFAP52/MESP1/GREM1/DNAAF3/GBX2/GDNF/ODAD2/ARL13B/HOXD4/HOXD12/IRX1/SIX2/HOXB9/SOSTDC1/DNAI2/FOXB1/CFAP53/HOXC5/C1QA/HOXB2/CIMAP3/FOXG1/BASP1/ERBB4/HES7/GSX2/HOXC9/HOXC10/TDRKH/SOX1/NKX2-5/RIPPLY3/ROBO2/NRG3/HELT/MESP2/RFX8/XRCC2/HOXA4/HOXC6/ODAD3/HOXC4/ASPH/ARC/RIPPLY2/SOX18/BMPR2/ODAD4/ADGRG1/CFAP45/NOTO/FOXD1/HOXA10/PRKDC/HOXB7/LHX1/CIROP",192
"GO:0034765","regulation of monoatomic ion transmembrane transport","184/4647","454/18870",3.17814105897484e-14,2.48530630811833e-11,1.9482841044426e-11,"CFTR/HECW1/CALCR/CX3CL1/CACNA1G/SCN4A/CACNA2D2/NOX1/ATP1A2/FHL1/KCNG1/KCNH2/VMP1/KCNAB2/GAL/TRPM5/KCNQ2/ACTN2/EDN1/ADCYAP1R1/CACNA1S/OPRK1/P2RX5/ABCB1/REM1/TESC/NOS1/KCNH4/JPH4/CBARP/HCN2/CACNA1I/KCNK10/MMP9/NTSR1/FGF14/CEMIP/KCNN4/KCNA7/GRIN2D/CACNG7/ATP4A/HAMP/CAV1/PPIF/P2RX1/CCL2/CACNG1/P2RX3/IFNG/CLIC5/CLCN2/KCNJ13/GPR89A/CASQ2/KCNJ5/KCNJ8/HPCA/RAMP3/HVCN1/PLP1/EDN3/KCNK15/AHNAK/F2RL3/KCNC1/ATP1B2/KCNA5/CRACR2A/DPP6/CACNG6/EPHB2/APLNR/SCN7A/SLC31A2/FXYD6/LHCGR/HECW2/TRPC3/CXCL9/METTL21C/KCNH5/KCNA10/ATP1B1/HCN3/PSEN2/SCN1A/STAC/SNCA/STOM/CACNA1B/TMC2/SCN2B/JPH2/FXYD4/ADRA2A/KCNJ1/KCNE4/UTRN/SCN3A/KCNJ16/THY1/JPH3/UBASH3B/MS4A1/KCNJ6/KCNJ15/RNF207/CLIC6/G6PD/GRIN2C/FGF11/KCNF1/HCN1/KCNK5/KCNV1/GPER1/TMC1/CYBB/WNK2/KCNC2/SCN3B/NETO1/JSRP1/CACNB3/KCNJ4/KCNV2/PCSK9/IL13/ADRB2/KCNAB1/CLIC3/PLA2G1B/PRKCE/P2RY6/HAP1/DPP10/GRIN1/SCN4B/CD19/KCNJ10/KCNG2/GPR35/F2/KCNE1/AMIGO1/KCNIP1/KCNA4/CACNB4/CAV3/GALR2/RGS7/GRIN2A/SCN5A/KCNH8/KCNQ3/KCNK12/KCND2/LRRC26/ANO9/STAC3/KCNQ5/CLCNKA/NPSR1/P2RX2/CLCN1/GPR89B/CATSPER4/ATP2A1/WNK3/SCN8A/BPIFA1/CACNA1E/KCNRG/ARC/STK39/GJC2/LIME1/KCNU1/VAMP2/SHANK3/ITGB3/KCNJ18/FXYD1",184
"GO:0003002","regionalization","172/4647","430/18870",8.46742989796072e-13,5.88580460462692e-10,4.61400653738e-10,"CYP26B1/HOXA11/MEOX1/PAX6/ISL1/HOXC8/TLL1/ALX4/DMRT3/FGFR2/FGF10/TP63/WNT8B/HOXA9/EDN1/WNT11/AURKA/CHRD/DLL3/TLL2/TDRD1/NDRG4/FOXF1/WNT2/LFNG/HOXA5/COBL/MEOX2/LHX2/ENG/LHX3/DKK1/WNT3/HOXB6/KAT2A/NKX3-2/ZBTB16/MDFI/TBX18/CDX1/ARL6/OTX1/DLX2/VAX2/HOXB8/HOXB3/HOXB1/MSX2/TBX2/DNAI1/EGR2/BHLHE41/HOXC13/HOXC11/STIL/DAW1/NKX2-2/BMP2/SIX1/FEZF1/HOXD3/HOXD10/HOXD11/HOXD13/FOXA1/GATA5/BARX1/GSC/WNT2B/APLNR/TBX3/HEY2/EMX1/PCDH8/TBR1/GATA4/LMX1B/SMAD6/SIX3/FGF2/PRICKLE1/ASCL1/FOXN4/ACVRL1/PCSK6/NKD1/DMRTA2/LEFTY2/DLX1/HES6/SFRP2/GPC3/CER1/TBX6/ENKUR/FEZF2/DNAAF1/WNT3A/WNT7A/WIF1/ZIC3/DRC1/RNF207/BTG2/FOXH1/TDRD5/NEUROD1/EN1/MSX1/IHH/TGFBR2/HEYL/PITX2/HHIP/TBXT/TBX20/SP8/SOX17/CDX2/OTX2/CFAP52/MESP1/GREM1/DNAAF3/GBX2/GDNF/ODAD2/ARL13B/HOXD4/IRX1/SIX2/HOXB9/SOSTDC1/DNAI2/FOXB1/CFAP53/HOXC5/C1QA/HOXB2/CIMAP3/FOXG1/BASP1/HES7/GSX2/HOXC9/HOXC10/TDRKH/SOX1/NKX2-5/ROBO2/HELT/MESP2/RFX8/XRCC2/HOXA4/HOXC6/ODAD3/HOXC4/ARC/RIPPLY2/SOX18/BMPR2/ODAD4/ADGRG1/CFAP45/NOTO/FOXD1/HOXA10/PRKDC/HOXB7/LHX1/CIROP",172
"GO:0048562","embryonic organ morphogenesis","127/4647","295/18870",2.33212136869453e-12,1.4589751282553e-09,1.14372141649977e-09,"WNT16/HOXA11/DLX6/USH1C/PAX6/ALX4/COL11A1/FGFR2/FGF10/NDST1/MYO3B/ITGA8/HOXA9/EDN1/WNT11/POU4F3/TBX15/MYO3A/SIX4/NDRG4/FOXF1/HPN/DLX5/HOXA1/HOXA5/ENG/CDH23/HOXB6/NKX3-2/SOBP/MDFI/TBX18/HYAL1/EFEMP1/OTX1/DLX2/VAX2/MFAP2/PROX1/TCF21/SATB2/HOXB8/HOXB3/HOXB1/RDH10/TBX2/GJB6/TWIST1/HOXC11/STIL/RUNX2/SOX9/SIX1/HOXD3/HOXD10/EPHB2/GSC/APLNR/TBX3/GATA4/HLX/TFAP2A/FOXF2/MYO7A/STRA6/SIX3/RBP4/FBN2/COL2A1/LRIG3/FOXN4/ZEB1/TBX6/ZIC1/DNAAF1/WNT3A/MMP16/ALX3/ZIC3/MMP14/GRHL3/RNF207/PPP1R35/FOXH1/FLVCR1/NEUROD1/MSX1/IHH/TGFBR2/TBX20/SOX17/OSR2/CTHRC1/MESP1/TTC39C/GBX2/SHOX2/ARL13B/HOXD4/SIX2/HOXB9/ATOH1/HOXB2/CHRNA9/FOXG1/SOX11/FOXE1/GATA2/TH/ALX1/HOXC9/SCRIB/TMIE/USH1G/NKX2-5/FOXL2/INSIG1/HMX2/PAX5/HOXA4/LHFPL5/HOXC4/SOX18/NOTO/STRC/HOXB7/LHX1",127
"GO:0008037","cell recognition","77/4647","154/18870",8.35009938483391e-12,4.74892925013827e-09,3.72278593626231e-09,"VCAN/ZPBP/FCN1/OVGP1/IGSF9/FETUB/CRTAC1/ACR/ADAM2/CLEC4M/DOCK8/CRTAM/FOLR3/NEDD9/TULP1/SEMA5A/PCDH12/CNR1/PAEP/SFTPA1/C4BPB/CFP/PLA2G5/LBP/ATP8B3/TEX101/CRP/EPHB2/CNTN6/CD36/MYPN/SPACA3/FCN3/MEGF10/TNFRSF21/ZAN/ZP1/ALDOA/CCT5/CLGN/FEZF2/ROBO4/EPHB1/COLEC12/LY6K/NEXN/DCST2/DCST1/CCT3/PTX3/PRSS37/ADAM18/EMB/FUT3/GAP43/CCL19/CNTNAP2/FOXG1/CDK5R1/SPACA4/PRF1/AMIGO1/ADGRB1/IZUMO1/EPHB3/NTM/CADM1/OPCML/CNTN2/COLEC10/ROBO2/ZPBP2/PEAR1/ZP3/ADAM32/PCDHA7/PECAM1",77
"GO:0061644","protein localization to CENP-A containing chromatin","18/4647","18/18870",1.08247880020535e-11,5.64332281173722e-09,4.42391993873397e-09,"CENPA/H2BC11/H4C8/H4C3/H4C11/H4C16/H4C15/H4C14/H4C12/H4C6/H4C13/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2",18
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","78/4647","158/18870",1.38986142352265e-11,6.68844081965975e-09,5.24321001796924e-09,"CALCR/TBXA2R/ADRB1/CALCRL/ADGRF5/PTHLH/RAPGEF4/CHGA/APLP1/CALCA/ADGRD1/GCG/ADGRL2/CNR1/ADRA1A/IAPP/ADGRB2/PTGFR/RAMP3/ADGRE5/TCP11/S1PR4/ADM2/ADCY4/ADGRE3/RAMP2/RAMP1/SSTR4/GPR12/RXFP2/ADGRB3/LHCGR/CXCL9/GPR65/ADGRG7/UCN2/VIP/ADGRL3/ADRA2A/PTH/ADGRF1/ADGRF4/GPR26/GPR78/ADCY8/GNAQ/ADGRG4/GIP/PTGIR/PTH1R/ADCY9/ADGRL4/PF4/ADGRF2/GPER1/GPR101/TSHR/MC4R/ADRB2/AKAP13/S1PR1/RXFP1/PTGER4/ADRA1D/ADGRE1/CALCB/MC5R/GPR4/UCN3/ADGRD2/S1PR5/ADGRB1/GALR2/MC2R/CNR2/LGR4/ADGRG1/GCGR",78
"GO:0071695","anatomical structure maturation","113/4647","261/18870",2.43951812183412e-11,1.09011609787102e-08,8.54565032302644e-09,"CFTR/CX3CL1/BTK/LTF/MYOC/NSUN2/PTPRN/CDH3/ANKS1A/GAL/PLA2G10/CNGB1/EPHA8/TRIP13/NTN4/SCARF1/EDN1/PGR/AURKA/SLC26A3/TGFB2/TDRD1/PLA2G3/VSX1/FERMT1/HOXA5/LHX6/ZBTB16/EPAS1/KIF14/MSX2/PAEP/RECK/TCP11/RUNX2/EREG/BMP2/KLF2/FOXA1/CDKN1C/C1QL1/PPARG/RXFP2/SPINK5/ADGRB3/EDNRB/SIX3/IL21/ASCL1/ACVRL1/BRCA2/SLC24A4/SLC22A14/ROPN1L/TBX6/ADAMTS12/PTH/LGI4/CABYR/C2CD6/FUT6/HOXB13/G6PD/PTH1R/TAL1/TRIM58/FLVCR1/TDRD5/NPPC/TMEM79/IHH/NKX6-1/SPINK1/DEFB1/RET/DCHS1/GREM1/EPB42/CX3CR1/RAC3/WNT10B/BFSP2/S1PR1/CDK5R2/FGG/CCL19/C1QA/PHOSPHO1/CNTNAP2/CATSPERD/CDK5R1/TYMS/RFLNA/ZNF664-RFLNA/GATA2/CDH5/KCNE1/BHLHA15/TDRKH/RFLNB/CNTN2/KCNQ3/CEND1/GLDN/CATSPER4/LRRK2/ZAR1L/CCDC154/SOX18/SLC26A6/INSL3/TUBB8/RHEX",113
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","81/4647","168/18870",2.63817986056149e-11,1.10029688051151e-08,8.62545962831999e-09,"CELSR3/CDH1/CDH10/DSG2/CDH3/CDH19/CDHR2/CDH17/CEACAM1/CDH7/PCDHA6/FAT1/IGSF9/CEACAM6/FAT2/PCDH11Y/CDHR5/CDH20/PCDH11X/CEACAM5/CDH23/NECTIN1/PCDH12/PCDH17/PCDHB8/CDHR3/CDH15/CNTN6/DSG3/DSG1/DSC1/PCDH8/MYPN/PCDH10/CDH24/CDH13/NECTIN4/IGSF11/CDH18/SDK1/HMCN2/ESAM/PCDH15/ROBO4/CDH12/CLSTN2/NEXN/CADM3/FAT3/RET/DCHS1/PCDH7/CDH2/EMB/PTPRM/DSG4/CDH5/AMIGO1/CADM1/CNTN2/PCDH9/ROBO2/CDHR4/PTPRT/FAT4/PLXNB3/L1CAM/PCDHGA1/PCDHA9/PCDHA8/PCDHA7/PCDHA5/PCDHA4/TENM3/PCDHGC3/PCDHA11/PCDHA12/PCDHGA12/PCDHGA8/PCDHGB7/PECAM1",81
"GO:0030900","forebrain development","159/4647","407/18870",5.38709045212615e-11,2.10635236678132e-08,1.65121410634577e-08,"ARX/PAX6/TYROBP/TACC3/ISL1/ATP1A2/CDH1/POU1F1/ASPM/FGFR2/KIF26A/PITX1/FGF10/NDST1/SEMA3A/WDR62/LHX5/EFNA2/E2F1/SALL1/APLP1/DLX5/EZH2/LHX2/LHX6/LHX3/CXCL12/DKK1/KAT2A/MDK/PHACTR1/MDGA1/PRDM13/NR2E1/SEMA5A/OTX1/DLX2/VAX2/TNR/SLC2A1/PROX1/KIF14/NEUROG3/STIL/BMP2/AVPR2/FEZF1/KCNC1/ATP1B2/PLXNA3/SSTR4/BCAN/DCLK1/EPHB2/GSC/WNT2B/RAX/SOX3/AGTPBP1/TBX3/EMX1/TBR1/DAB2IP/TUBB2A/TUBB2B/ATAT1/SIX3/ATIC/FGF2/ANXA3/ASCL1/SSTR1/SLC6A3/DMRTA2/DLX1/SLIT2/SRD5A1/TACC1/NTRK2/ZEB1/FEZ1/DIXDC1/SLC7A11/POU4F1/ZIC1/FEZF2/WNT3A/WNT7A/GRIA1/ZIC3/LRP8/HTR6/IGF2BP1/BTG2/CHRNB2/ELAVL4/LHX8/NEUROD1/INHBB/MSX1/CCKAR/CCDC141/PITX2/DLC1/SLITRK5/OTX2/HPRT1/KCNC2/TUBA1A/MFSD2A/GBX2/COL3A1/NR0B1/P2RY12/ARL13B/RAC3/CDH2/CDK5R2/OTP/SRGAP2C/FOXB1/ID4/ATOH1/NDNF/HAP1/CNTNAP2/PCSK1/FOXG1/BNIP3/CDK5R1/NEUROG2/ERBB4/GATA2/TH/GSX2/SOX2/EPHB3/TSKU/SOX1/SCN5A/CNTN2/PCDH9/POU3F2/ROBO2/PRKG1/NRG3/RTN4RL1/H2AX/LRRK2/PAX5/FAT4/POU3F3/ADGRG1/OLIG2/AQP1/SHANK3/LHX1/NEFL/ARHGAP11B",159
"GO:0006959","humoral immune response","111/4647","258/18870",5.83333550887217e-11,2.14666746726496e-08,1.68281796506721e-08,"PGLYRP1/PRSS3/LTF/ALOX5/SLC11A1/C8B/C6/CD5L/CXCL2/FCN1/LYZ/TF/CTSG/WFDC2/RGCC/GPI/CCL2/BST1/HPX/POU2AF1/IFNG/GAPDH/IL17A/CD83/C7/HRG/REG1A/CFHR3/CR2/C4BPB/PI3/SLPI/WFDC3/H2BC11/CXCL6/IL1B/DEFB126/CFP/MASP1/SPINK5/CFHR4/CFHR5/IL6/IL36RN/CXCL9/GATA6/KLK3/FCN3/SUSD4/S100A7/TSLP/CXCL14/TNFRSF21/IFNK/SERPING1/VSIG4/CXCL13/MS4A1/C1QC/PGLYRP3/AIRE/PGLYRP4/S100A9/S100A12/CXCL3/PPBP/PF4/CAMP/DEFA5/DEFA4/DEFB1/SPAG11B/SVEP1/RNASE7/KRT1/WFDC13/WFDC12/PLA2G1B/FGA/FGB/DEFB4A/LGALS4/IFNB1/C1QB/C1QA/EXO1/A2M/C8G/WFDC11/F2/H2BC4/WFDC10B/COLEC10/H2BC21/IFNE/DMBT1/ZP3/CFD/H2BC12/BPIFA1/HLA-E/KRT6A/H2BC12L/DEFA3/SPRR2A/CFB/H2BC8/H2BC6/PRSS2/H2BC7/H2BC10",111
